INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. ‰ЫТ Date NE)
,,,,,,,,,,,,
RIO AMAZONAS ,,,,,,,,,,,,
,,4500 HM - D9,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,4500 HM - D10,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,4500 HM - D11,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,4500 HM - D12,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,4500 HM - D13,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,4500 HM - D14,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,4500 HM - D15,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,4500 HM - D16,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,4500 HM - D17,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,4500 HM - D18,SE_RIE D Р TRECHO HUMAITA_ Р PORTO VELHO,,,,,,,,,
,,,,,,,,,,,,
CROQUIS ,,,,,,,,,,,,
,,,,,,,,,,,,
RIO PARACAUARI ,,,,,,,,,,,,
,,,DE SOURE A_ FAZENDA BOM JARDIM ,,,,,1983,50000,,,
,,,,,,,,,,,,
RIO PARU ,,,,,,,,,,,,
,,,DA FOZ A_ CACHOEIRA DO PARANA_ ,,,,,1982,25000,,,
,,,,,,,,,,,,
RIO NHAMUNDA_ ,,,,,,,,,,,,
,,,DA FOZ AO IGARAPE_ DA AREIA ,,,,,1981,25000,,,
,,,DO IGARAPE_ DA AREIA A_ CAIEIRA ,,,,,1981,12500,,,
,,,,,,,,,,,,
RIO NEGRO ,,,,,,,,,,,,
,,,DA FOZ A_ SANTA ISABEL DO RIO NEGRO ,,,,,1983,100000,,,
,,,,,,,,,,,,
RIO BRANCO ,,,,,,,,,,,,
,,,DE BOA VISTA A_ DESEMBOCADURA NO RIO NEGRO ,,,,,1979,50000,,,
,,,,,,,,,,,,
RIO PURUS ,,,,,,,,,,,,
,,,DA FOZ A_ BOCA DO ACRE ,,,,,1982,50000,,,
,,,,,,,,,,,,
RIO JURUA_ ,,,,,,,,,,,,
,,,DA FOZ A EIRUNEPE_ ,,,,,1980,50000,,,
,,,,,,,,,,,,
RIO IC_A ,,,,,,,,,,,,
,,,DA FOZ A_ FRONTEIRA BRASIL/ COLO_MBIA ,,,,,1981,50000,,,
,,,,,,,,,,,,
RIO JAVARI ,,,,,,,,,,,,
,,,DA FOZ AO ESTIRA_O DO EQUADOR,,,,,1981,25000,,,
,,,DO ESTIRA_O DO EQUADOR A PALMEIRAS ,,,,,1981,12500,,,
,,,,,,,,,,,,
ESTREITOS ,,,,,,,,,,,,
,,,DA BAI_A DAS BOCAS A PORTEL ,,,,,1983,50000,,,
,,,,,,,,,,,,
PARANA_ DO RAMOS ,,,,,,,,,,,,
,,,DE VILA AMAZO_NIA A_ I. PANUMA_ ,,,,,1984,50000,,,
,,,,,,,,,,,,
PARANA_ DO URARIA_ ,,,,,,,,,,,,
,,,DE VILA S. HELENA A MAUE_S ,,,,,1984,50000,,,
,,,DE MAUE_S AO RIO CANHUMA_ ,,,,,1987,25000,,,
,,,,,,,,,,,,
RIO UCAYALI ,,,,,,,,,,,,
,,,DE IQUITOS A PUCALLPA ,,,,,1985,100000,,,
,,,,,,,,,,,,
"RIOS ACARA_, MOJU E IGARAPE_-MIRI ",,,,,,,,,,,,
,,,DA FOZ DO RIO ACARA_ A CONCO_RDIA ,,,,,1986,20000,,,
,,,DA FOZ DO RIO ACARA_ A CONCO_RDIA ,,,,,1986,25000,,,
,,,DA FOZ DO RIO ACARA_ A CONCO_RDIA ,,,,,1986,10000,,,
,,,,,,,,,,,,
RIO JAPURA_ ,,,,,,,,,,,,
,,,DA FOZ A_ VILA BITTENCOURT ,,,,,1982,50000,,,
,,,,,,,,,,,,
RIO ACRE ,,,,,,,,,,,,
,,,DA FOZ A RIO BRANCO ,,,,,1987,50000,,,
,,,,,,,,,,,,
PARANA_ DO CACHOEIRI ,,,,,,,,,,,,
,,,DO RIO TROMBETAS AO RIO AMAZONAS ,,,,,1989,12500,,,
,,,,,,,,,,,,
PARANA_ DO URUBUQUAQUA_ E PARANA_ DE ALENQUER ,,,,,,,,,,,,
,,,DA ILHA SARACURA A_ BOCA DO RIO ARAPIRI ,,,,,1986,25000,,,
,,,DA ILHA SARACURA A_ BOCA DO RIO ARAPIRI ,,,,,1986,50000,,,
,,,,,,,,,,,,
PARANA_ DO CANHUMA_ ,,,,,,,,,,,,
,,,DO RIO CANHUMA_ A_ NOVA OLINDA DO NORTE ,,,,,1987,25000,,,
,,,,,,,,,,,,
RIO GUAMA_ ,,,,,,,,,,,,
,,,DA FOZ A CONCEIC_A_O ,,,,,1990,25000,,,
,,,,,,,,,,,,
RIO CAPIM ,,,,,,,,,,,,
,,,DE SA_O DOMINGOS DO CAPIM A_ MILHAGEM 227 ,,,,,1990,25000,,,
